x, y
0.05212, 10.11161
0.39961, 9.97768
0.7471, 9.95536
1.09459, 9.95536
1.44208, 9.91071
1.78958, 9.86607
2.13707, 9.82143
2.48456, 9.75446
2.83205, 9.70982
3.17954, 9.62054
3.52703, 9.53125
3.87452, 9.44196
4.22201, 9.33036
4.5695, 9.24107
4.91699, 9.10714
5.26448, 8.97321
5.61197, 8.83929
5.95946, 8.70536
6.30695, 8.54911
6.65444, 8.37054
7.00193, 8.21429
7.34942, 8.03571
7.69691, 7.85714
8.0444, 7.65625
8.39189, 7.47768
8.73938, 7.27679
9.08687, 7.05357
9.43436, 6.83036
9.78185, 6.62946
10.12934, 6.40625
10.47683, 6.16071
10.82432, 5.91518
11.17181, 5.66964
11.51931, 5.42411
11.8668, 5.15625
12.21429, 4.91071
12.56178, 4.64286
12.90927, 4.375
13.25676, 4.10714
13.60425, 3.81696
13.95174, 3.54911
14.29923, 3.25893
14.64672, 2.96875
14.99421, 2.67857
15.32432, 2.41071
15.67181, 2.12054
16.01931, 1.83036
16.3668, 1.51786
16.71429, 1.22768
17.06178, 0.9375
17.40927, 0.625
17.75676, 0.33482
18.10425, 0.02232
18.57336, -0.40179
19.0251, -0.80357
19.51158, -1.18304
20.01544, -1.65179
20.51931, -2.05357
21.05792, -2.45536
21.50965, -2.85714
21.99614, -3.25893
22.5, -3.66071
23.00386, -4.08482
23.50772, -4.46429
24.02896, -4.84375
24.55019, -5.26786
25.0888, -5.64732
25.62741, -5.95982
26.13127, -6.36161
26.65251, -6.74107
27.17375, -7.00893
27.78185, -7.36607
28.30309, -7.74554
28.85907, -8.01339
29.48456, -8.25893
29.95367, -8.50446
30.59653, -8.75
31.18726, -9.01786
31.79537, -9.26339
32.35135, -9.44196
32.94208, -9.55357
33.55019, -9.73214
34.0888, -9.82143
34.71429, -9.88839
35.28764, -9.97768
35.87838, -10
