NormT,Drag
0.000000000000000000e+00,9.168627817430262672e-01
3.694195581507186098e-03,9.106639787141858067e-01
7.388391163014372195e-03,9.047253757081874515e-01
1.108258711098940134e-02,8.986572098687892751e-01
1.477678232602874439e-02,8.929237992039917859e-01
1.847097754106808570e-02,8.869087842697046531e-01
2.216517275610743049e-02,8.809269122469944868e-01
2.585936943701814400e-02,8.751861705946636372e-01
2.955356465205748878e-02,8.691196963871756775e-01
3.324775986709683356e-02,8.632461717457241557e-01
3.694195508213617141e-02,8.575625127848361950e-01
4.063615029717551619e-02,8.519319309270435570e-01
4.433034551221486097e-02,8.466035936841898035e-01
4.802454072725420575e-02,8.407504692758338560e-01
5.171873887403628800e-02,8.354391342394436037e-01
5.541293408907563278e-02,8.299038696247749147e-01
5.910712930411497756e-02,8.245334437782186887e-01
6.280132451915432235e-02,8.192820719241930005e-01
6.649551973419366713e-02,8.138101367404824149e-01
7.018971494923299803e-02,8.085281294009393216e-01
7.388391016427234281e-02,8.029407888993926878e-01
7.757810537931168759e-02,7.979294219142903932e-01
8.127230059435103238e-02,7.927093599097364551e-01
8.496649580939037716e-02,7.878381036117868552e-01
8.866069102442972194e-02,7.827294215989528681e-01
9.235488623946906672e-02,7.772891475782014448e-01
9.604908145450841150e-02,7.725751216467011684e-01
9.974328253303323122e-02,7.679041425834377543e-01
1.034374777480725760e-01,7.629178213518202911e-01
1.071316729631119208e-01,7.580700613027547830e-01
1.108258681781512656e-01,7.528480601449665244e-01
1.145200633931906103e-01,7.482296659808849171e-01
1.182142586082299551e-01,7.435063535052925943e-01
1.219084538232692999e-01,7.394301003989978138e-01
1.256026490383086447e-01,7.351932586532178293e-01
1.292968442533479756e-01,7.296162221092810096e-01
1.329910394683873343e-01,7.251845201194854207e-01
1.366852346834266652e-01,7.206319650938896038e-01
1.403794298984659961e-01,7.162046394765005930e-01
1.440736251135053547e-01,7.114459598568848575e-01
1.477678203285446856e-01,7.064914381410686284e-01
1.514620155435840443e-01,7.021901503684674362e-01
1.551562107586233752e-01,6.984837191107213794e-01
1.588504059736627338e-01,6.944043372273736026e-01
1.625446011887020648e-01,6.903090889832560473e-01
1.662387964037414234e-01,6.860771346255934988e-01
1.699329916187807543e-01,6.823760223072582454e-01
1.736271868338200852e-01,6.788828821039887274e-01
1.773213820488594439e-01,6.756882039253140348e-01
1.810155772638987748e-01,6.721214517130383870e-01
1.847097724789381334e-01,6.683227294954724451e-01
1.884039676939774643e-01,6.646841935313643202e-01
1.920981629090168230e-01,6.617772450427295006e-01
1.957923581240561539e-01,6.578260634496481130e-01
1.994865650660664624e-01,6.544576301624875914e-01
2.031807720080767987e-01,6.510416367122486836e-01
2.068749789500871072e-01,6.484243649322556369e-01
2.105691858920974158e-01,6.460225413778969417e-01
2.142633928341077243e-01,6.427341970110431735e-01
2.179575997761180606e-01,6.396820914620245935e-01
2.216518067181283691e-01,6.363505659876423914e-01
2.253460136601386776e-01,6.334136902323325158e-01
2.290402206021490139e-01,6.299725574788661575e-01
2.327344275441593224e-01,6.260624830079204450e-01
2.364286344861696310e-01,6.237860594193206376e-01
2.401228414281799395e-01,6.215570002526151772e-01
2.438170483701902758e-01,6.193100710262816611e-01
2.475112553122005843e-01,6.168038169327619835e-01
2.512054622542109206e-01,6.145713111830728437e-01
2.548996691962212013e-01,6.119835367674266724e-01
2.585938761382315376e-01,6.098560737295820600e-01
2.622880830802418184e-01,6.071426724696320498e-01
2.659822900222521547e-01,6.052007507433830868e-01
2.696764969642624910e-01,6.034191394252392815e-01
2.733707039062727717e-01,6.017937169884055582e-01
2.770649108482831080e-01,6.003794766129696425e-01
2.807591177902934443e-01,5.985585279669337622e-01
2.844533247323037251e-01,5.973533344821585489e-01
2.881475316743140613e-01,5.955761409159530118e-01
2.918417386163243976e-01,5.942236729652691229e-01
2.955359455583346784e-01,5.927259670574418493e-01
2.992301525003450147e-01,5.911786660962615736e-01
3.029243594423553509e-01,5.900257354994932202e-01
3.066185663843656317e-01,5.885911734349719149e-01
3.103127733263759680e-01,5.868501829291616900e-01
3.140069802683862488e-01,5.854866853784558289e-01
3.177011872103965850e-01,5.843456494120238265e-01
3.213953941524069213e-01,5.833019018231284658e-01
3.250896010944172021e-01,5.821161814627320297e-01
3.287838080364275384e-01,5.814890966927983573e-01
3.324780149784378747e-01,5.812389985469063047e-01
3.361722219204481554e-01,5.799456047724268482e-01
3.398664288624584917e-01,5.797978544425957947e-01
3.435606358044688280e-01,5.790528861471215816e-01
3.472548427464791088e-01,5.783707540279238168e-01
3.509490496884894450e-01,5.770864713540712065e-01
3.546432566304997258e-01,5.769445577869070085e-01
3.583374635725100621e-01,5.758767306225847094e-01
3.620316705145203984e-01,5.752479033405146769e-01
3.657258774565306791e-01,5.758362538956035559e-01
3.694200843985410154e-01,5.753118972564454925e-01
3.731142913405513517e-01,5.747121865561287679e-01
3.768084982825616325e-01,5.749599788255475019e-01
3.805027052245719688e-01,5.743142859144177992e-01
3.841969121665823050e-01,5.748186384795560544e-01
3.878911191085925858e-01,5.742507923016537674e-01
3.915853260506029221e-01,5.736409426566978498e-01
3.952795095386713031e-01,5.734340440594193344e-01
3.989736930267396287e-01,5.734250235702927911e-01
4.026678765148080097e-01,5.729686119040788839e-01
4.063620600028763907e-01,5.731060262440148545e-01
4.100562434909447718e-01,5.733237506512879333e-01
4.137504269790131528e-01,5.730928135457244998e-01
4.174446104670814783e-01,5.727897224461668824e-01
4.211387939551498594e-01,5.731165699491335142e-01
4.248329774432182404e-01,5.731678462016122078e-01
4.285271609312866214e-01,5.748959789612354543e-01
4.322213444193550025e-01,5.744398938946825295e-01
4.359155279074233280e-01,5.741546710243891072e-01
4.396097113954917091e-01,5.741381495465790463e-01
4.433038948835600901e-01,5.746344227589088582e-01
4.469980783716284711e-01,5.745864205730017993e-01
4.506922618596968522e-01,5.746957859041843530e-01
4.543864453477651777e-01,5.755642761735616508e-01
4.580806288358335587e-01,5.759298042581997290e-01
4.617748123239019398e-01,5.759932555273027388e-01
4.654689958119703208e-01,5.768705842063317490e-01
4.691631793000387018e-01,5.771370659504498901e-01
4.728573627881070274e-01,5.784937887250524158e-01
4.765515462761754084e-01,5.799646580143694719e-01
4.802457297642437895e-01,5.812660738001386163e-01
4.839399132523121705e-01,5.832223464779544564e-01
4.876340967403805515e-01,5.841951763226372885e-01
4.913282802284488771e-01,5.851630613665478320e-01
4.950224637165172581e-01,5.864129837500938747e-01
4.987166472045856391e-01,5.867780988323949565e-01
5.024108306926540202e-01,5.880177610130902233e-01
5.061050141807224012e-01,5.891414270883909010e-01
5.097991976687907822e-01,5.904566244315004875e-01
5.134933811568591633e-01,5.921051248593584004e-01
5.171875646449275443e-01,5.931743566085935226e-01
5.208817481329958143e-01,5.947044123319075171e-01
5.245759316210641954e-01,5.959986222283907287e-01
5.282701151091325764e-01,5.968682881367578519e-01
5.319642985972009575e-01,5.966779195996280150e-01
5.356584820852693385e-01,5.980646892535689263e-01
5.393526655733377195e-01,5.990782043910362065e-01
5.430468490614061006e-01,5.998292207377928786e-01
5.467410325494744816e-01,6.000663200832149213e-01
5.504352160375428626e-01,6.010727965284606844e-01
5.541293995256112437e-01,6.017998235584540723e-01
5.578235830136795137e-01,6.019946922576724369e-01
5.615177665017478947e-01,6.027336989967759795e-01
5.652119499898162758e-01,6.022193429845311696e-01
5.689061334778846568e-01,6.034747703895120274e-01
5.726003169659530379e-01,6.042087380477276781e-01
5.762945004540214189e-01,6.055161378892049973e-01
5.799886839420897999e-01,6.058201928998522279e-01
5.836828674301581810e-01,6.059629538350257416e-01
5.873770509182265620e-01,6.069778838776960228e-01
5.910712344062949430e-01,6.070921047498520906e-01
5.947654178943632131e-01,6.070626205558994348e-01
5.984596013824315941e-01,6.080529351700894036e-01
6.021537848704999751e-01,6.089142158866028831e-01
6.058479683585683562e-01,6.101617983883780294e-01
6.095421518466367372e-01,6.118189195881664766e-01
6.132363353347051182e-01,6.121395248052613480e-01
6.169305188227734993e-01,6.134528337028577472e-01
6.206247023108418803e-01,6.141403570690235902e-01
6.243188857989102614e-01,6.145812290309211612e-01
6.280130692869786424e-01,6.151393509106707347e-01
6.317072527750469124e-01,6.164620321126196290e-01
6.354014362631152935e-01,6.172772462335436305e-01
6.390956197511836745e-01,6.186672355472836449e-01
6.427898032392520555e-01,6.190472593592862838e-01
6.464839867273204366e-01,6.195144799159605364e-01
6.501781702153888176e-01,6.205895000235143177e-01
6.538723537034571986e-01,6.204401252290481228e-01
6.575665371915255797e-01,6.209584011716504648e-01
6.612607206795939607e-01,6.213863468601130702e-01
6.649549041676623418e-01,6.225188424290583056e-01
6.686490876557306118e-01,6.226922063781216155e-01
6.723432711437989928e-01,6.231400827384043772e-01
6.760374546318673739e-01,6.239649498260790850e-01
6.797316381199357549e-01,6.244051871644341611e-01
6.834258216080041359e-01,6.245064948048940634e-01
6.871200050960725170e-01,6.250283067911043267e-01
6.908141885841408980e-01,6.247884952220852384e-01
6.945083720722092790e-01,6.257015698150606431e-01
6.982025555602776601e-01,6.276552661267287281e-01
7.018967390483460411e-01,6.285833302404231215e-01
7.055909225364143111e-01,6.288624028460748638e-01
7.092851060244826922e-01,6.297971500679208079e-01
7.129792895125510732e-01,6.304509341278334844e-01
7.166734730006194543e-01,6.300055912114076451e-01
7.203676564886878353e-01,6.300381338983203072e-01
7.240618399767562163e-01,6.300389589006606395e-01
7.277560234648245974e-01,6.292612525250600441e-01
7.314502069528929784e-01,6.291248509513128750e-01
7.351443904409613594e-01,6.293854467473000147e-01
7.388385739290297405e-01,6.301069165072836764e-01
7.425327574170980105e-01,6.302187889356186679e-01
7.462269409051663915e-01,6.313207622483772985e-01
7.499211243932347726e-01,6.310718724664057255e-01
7.536153078813031536e-01,6.317042334492287692e-01
7.573094913693715347e-01,6.312143182440470568e-01
7.610036748574399157e-01,6.322508525157579662e-01
7.646978583455082967e-01,6.336362710972067713e-01
7.683920418335766778e-01,6.334672898466325863e-01
7.720862253216450588e-01,6.326353548138302640e-01
7.757804088097134398e-01,6.341365435242387605e-01
7.794745922977817099e-01,6.352784885425845074e-01
7.831687757858500909e-01,6.365471073863226970e-01
7.868629592739184719e-01,6.377205125496900884e-01
7.905571427619868530e-01,6.391487626667458066e-01
7.942513262500552340e-01,6.394283153005689835e-01
7.979455097381236151e-01,6.405325131735232214e-01
8.016396932261919961e-01,6.415203151223680678e-01
8.053338767142603771e-01,6.419768898157793835e-01
8.090280602023287582e-01,6.430778544215989267e-01
8.127222436903970282e-01,6.434190414217778597e-01
8.164164271784654092e-01,6.433333039138681153e-01
8.201106106665337903e-01,6.442099623274764042e-01
8.238047941546021713e-01,6.450516570845815645e-01
8.274989776426705523e-01,6.455262690787509916e-01
8.311931611307389334e-01,6.465177237836094992e-01
8.348873446188073144e-01,6.466939164008281837e-01
8.385815281068756954e-01,6.472610828547671336e-01
8.422757115949440765e-01,6.472777355324753623e-01
8.459698950830124575e-01,6.470744134136353631e-01
8.496640785710807275e-01,6.472191175529605767e-01
8.533582620591491086e-01,6.469973577271582732e-01
8.570524455472174896e-01,6.461205011795937425e-01
8.607466290352858707e-01,6.466436261845279754e-01
8.644408125233542517e-01,6.481935177650365310e-01
8.681349960114226327e-01,6.491433592548216946e-01
8.718291794994910138e-01,6.495488067002587185e-01
8.755233629875593948e-01,6.498770501460390259e-01
8.792175464756277758e-01,6.495163153140885992e-01
8.829117299636961569e-01,6.483305693852309259e-01
8.866059134517644269e-01,6.495296110853354676e-01
8.903000969398328079e-01,6.492257671384938922e-01
8.939942804279011890e-01,6.504100477385843515e-01
8.976884639159695700e-01,6.515382090854447972e-01
9.013826474040379511e-01,6.517731659217398388e-01
9.050768308921063321e-01,6.508166447906456042e-01
9.087710143801747131e-01,6.510858268932091519e-01
9.124651978682430942e-01,6.524653262120442276e-01
9.161593813563114752e-01,6.519868748205994713e-01
9.198535648443798562e-01,6.532039300123033687e-01
9.235477483324481263e-01,6.531977601158863722e-01
9.272419318205165073e-01,6.556447910696074910e-01
9.309361153085848883e-01,6.562292528531110669e-01
9.346302987966532694e-01,6.572599956906746144e-01
