NormT,Faxen
0.000000000000000000e+00,4.564328482708547562e-06
3.694195581507186098e-03,4.563718850515156554e-06
7.388391163014372195e-03,4.565039656661053506e-06
1.108258711098940134e-02,4.563989858393391855e-06
1.477678232602874439e-02,4.561411352026407689e-06
1.847097754106808570e-02,4.563841580764482695e-06
2.216517275610743049e-02,4.563670223797893294e-06
2.585936943701814400e-02,4.566132766852973037e-06
2.955356465205748878e-02,4.562903139674845152e-06
3.324775986709683356e-02,4.562129728147000201e-06
3.694195508213617141e-02,4.567026227165156197e-06
4.063615029717551619e-02,4.562314058719179562e-06
4.433034551221486097e-02,4.565032954383579953e-06
4.802454072725420575e-02,4.567837365065293147e-06
5.171873887403628800e-02,4.570190534750907051e-06
5.541293408907563278e-02,4.577303418624288379e-06
5.910712930411497756e-02,4.577683692145843773e-06
6.280132451915432235e-02,4.571999369175330902e-06
6.649551973419366713e-02,4.573360834915834184e-06
7.018971494923299803e-02,4.578438475395041755e-06
7.388391016427234281e-02,4.571706089621342878e-06
7.757810537931168759e-02,4.564366118040904063e-06
8.127230059435103238e-02,4.566449225091594085e-06
8.496649580939037716e-02,4.568942693347152394e-06
8.866069102442972194e-02,4.573391639423790034e-06
9.235488623946906672e-02,4.569738802898356782e-06
9.604908145450841150e-02,4.566764394609559064e-06
9.974328253303323122e-02,4.570088209787091374e-06
1.034374777480725760e-01,4.562404099876002616e-06
1.071316729631119208e-01,4.565144948003740203e-06
1.108258681781512656e-01,4.562101511758062291e-06
1.145200633931906103e-01,4.551399677551222518e-06
1.182142586082299551e-01,4.541608972794844493e-06
1.219084538232692999e-01,4.545033980546082690e-06
1.256026490383086447e-01,4.539881551853399280e-06
1.292968442533479756e-01,4.536764147988367154e-06
1.329910394683873343e-01,4.542510945693152812e-06
1.366852346834266652e-01,4.539299067051124367e-06
1.403794298984659961e-01,4.539177126724042833e-06
1.440736251135053547e-01,4.530473075218564914e-06
1.477678203285446856e-01,4.515566994651414006e-06
1.514620155435840443e-01,4.522291639359071396e-06
1.551562107586233752e-01,4.529832208863693417e-06
1.588504059736627338e-01,4.532791916970897898e-06
1.625446011887020648e-01,4.536720392117213665e-06
1.662387964037414234e-01,4.525066655005375214e-06
1.699329916187807543e-01,4.540705215367693151e-06
1.736271868338200852e-01,4.530837604048737775e-06
1.773213820488594439e-01,4.535396071032932279e-06
1.810155772638987748e-01,4.539207611713784781e-06
1.847097724789381334e-01,4.542712372604752857e-06
1.884039676939774643e-01,4.551065703888095548e-06
1.920981629090168230e-01,4.559348242537107823e-06
1.957923581240561539e-01,4.560364915756037352e-06
1.994865650660664624e-01,4.561424991736771900e-06
2.031807720080767987e-01,4.557845278361720269e-06
2.068749789500871072e-01,4.566830147891029780e-06
2.105691858920974158e-01,4.574209357027707433e-06
2.142633928341077243e-01,4.562371457485925697e-06
2.179575997761180606e-01,4.567082297537958584e-06
2.216518067181283691e-01,4.559088561408532048e-06
2.253460136601386776e-01,4.562618685023747485e-06
2.290402206021490139e-01,4.549953686849238177e-06
2.327344275441593224e-01,4.537271553121129304e-06
2.364286344861696310e-01,4.543016909928003146e-06
2.401228414281799395e-01,4.537981175899862824e-06
2.438170483701902758e-01,4.523552091067578134e-06
2.475112553122005843e-01,4.528412325532850056e-06
2.512054622542109206e-01,4.545262328078513236e-06
2.548996691962212013e-01,4.525978449589853858e-06
2.585938761382315376e-01,4.534726171586896565e-06
2.622880830802418184e-01,4.530334291938081833e-06
2.659822900222521547e-01,4.528666494959870600e-06
2.696764969642624910e-01,4.527227009582728675e-06
2.733707039062727717e-01,4.530297960697375639e-06
2.770649108482831080e-01,4.520386864959461060e-06
2.807591177902934443e-01,4.497282282593406733e-06
2.844533247323037251e-01,4.489115805660736927e-06
2.881475316743140613e-01,4.476244409705298148e-06
2.918417386163243976e-01,4.471092721913400963e-06
2.955359455583346784e-01,4.467063984344278002e-06
2.992301525003450147e-01,4.461467238001845188e-06
3.029243594423553509e-01,4.465581667599531356e-06
3.066185663843656317e-01,4.470505087144815680e-06
3.103127733263759680e-01,4.460916277436201215e-06
3.140069802683862488e-01,4.459834397995841603e-06
3.177011872103965850e-01,4.458400284831555251e-06
3.213953941524069213e-01,4.471353528718367861e-06
3.250896010944172021e-01,4.471231800068582366e-06
3.287838080364275384e-01,4.479931283753682462e-06
3.324780149784378747e-01,4.493414125935887903e-06
3.361722219204481554e-01,4.482111573761758951e-06
3.398664288624584917e-01,4.483280007846929530e-06
3.435606358044688280e-01,4.477952583136473729e-06
3.472548427464791088e-01,4.479822371795329864e-06
3.509490496884894450e-01,4.490545606405894888e-06
3.546432566304997258e-01,4.487792910964183905e-06
3.583374635725100621e-01,4.465303461655249445e-06
3.620316705145203984e-01,4.474411572768075011e-06
3.657258774565306791e-01,4.476193691724832037e-06
3.694200843985410154e-01,4.462501942608618266e-06
3.731142913405513517e-01,4.472522284471865011e-06
3.768084982825616325e-01,4.451174852682473595e-06
3.805027052245719688e-01,4.444115029109731140e-06
3.841969121665823050e-01,4.442374576858635727e-06
3.878911191085925858e-01,4.448423303218439616e-06
3.915853260506029221e-01,4.442930339760339442e-06
3.952795095386713031e-01,4.436625480410718764e-06
3.989736930267396287e-01,4.438717476523767727e-06
4.026678765148080097e-01,4.430415426404185297e-06
4.063620600028763907e-01,4.425928164954601411e-06
4.100562434909447718e-01,4.417933853393830896e-06
4.137504269790131528e-01,4.404071766236955954e-06
4.174446104670814783e-01,4.419034884932607283e-06
4.211387939551498594e-01,4.415290776288084689e-06
4.248329774432182404e-01,4.417960646962421344e-06
4.285271609312866214e-01,4.431211086273484712e-06
4.322213444193550025e-01,4.429876062844562491e-06
4.359155279074233280e-01,4.428093387273601647e-06
4.396097113954917091e-01,4.433451089003338068e-06
4.433038948835600901e-01,4.437643776925691878e-06
4.469980783716284711e-01,4.430970537948499627e-06
4.506922618596968522e-01,4.427171878687637857e-06
4.543864453477651777e-01,4.438611552349855660e-06
4.580806288358335587e-01,4.439736240180594402e-06
4.617748123239019398e-01,4.446093181746405667e-06
4.654689958119703208e-01,4.457711918727775725e-06
4.691631793000387018e-01,4.459959317585598120e-06
4.728573627881070274e-01,4.450108612789861900e-06
4.765515462761754084e-01,4.444046558030903833e-06
4.802457297642437895e-01,4.438187245045735886e-06
4.839399132523121705e-01,4.455926274713368814e-06
4.876340967403805515e-01,4.453137668443566202e-06
4.913282802284488771e-01,4.476327857251049095e-06
4.950224637165172581e-01,4.486263837368078737e-06
4.987166472045856391e-01,4.488568839307923411e-06
5.024108306926540202e-01,4.481174363669526859e-06
5.061050141807224012e-01,4.489054654400108692e-06
5.097991976687907822e-01,4.490384757334560124e-06
5.134933811568591633e-01,4.492576228114431333e-06
5.171875646449275443e-01,4.507770776295385098e-06
5.208817481329958143e-01,4.525904941554916032e-06
5.245759316210641954e-01,4.539044727766675157e-06
5.282701151091325764e-01,4.541478841688592322e-06
5.319642985972009575e-01,4.538648814065876597e-06
5.356584820852693385e-01,4.531562099510970718e-06
5.393526655733377195e-01,4.520383611532369424e-06
5.430468490614061006e-01,4.523588523528167565e-06
5.467410325494744816e-01,4.521611901992580222e-06
5.504352160375428626e-01,4.542317353634479624e-06
5.541293995256112437e-01,4.536004755681832568e-06
5.578235830136795137e-01,4.534261953306381441e-06
5.615177665017478947e-01,4.533252402636087223e-06
5.652119499898162758e-01,4.527119065701562925e-06
5.689061334778846568e-01,4.524508027343473604e-06
5.726003169659530379e-01,4.510072566301153283e-06
5.762945004540214189e-01,4.495493761188060069e-06
5.799886839420897999e-01,4.489348304037549226e-06
5.836828674301581810e-01,4.475119800643412555e-06
5.873770509182265620e-01,4.477528760085224268e-06
5.910712344062949430e-01,4.477439622046771097e-06
5.947654178943632131e-01,4.476132938053596073e-06
5.984596013824315941e-01,4.451515323458540718e-06
6.021537848704999751e-01,4.455422640896134292e-06
6.058479683585683562e-01,4.462650038704479724e-06
6.095421518466367372e-01,4.471876262331157680e-06
6.132363353347051182e-01,4.461202137413422568e-06
6.169305188227734993e-01,4.476818105287059456e-06
6.206247023108418803e-01,4.501237073912900249e-06
6.243188857989102614e-01,4.505791604757303098e-06
6.280130692869786424e-01,4.493928109991765126e-06
6.317072527750469124e-01,4.492881319892740011e-06
6.354014362631152935e-01,4.490009969134648860e-06
6.390956197511836745e-01,4.484108487950898622e-06
6.427898032392520555e-01,4.470273426455924119e-06
6.464839867273204366e-01,4.475476328723494322e-06
6.501781702153888176e-01,4.467747144473829738e-06
6.538723537034571986e-01,4.465360865592969939e-06
6.575665371915255797e-01,4.471770891081795936e-06
6.612607206795939607e-01,4.472280947837845144e-06
6.649549041676623418e-01,4.498734828967139190e-06
6.686490876557306118e-01,4.492268728283968877e-06
6.723432711437989928e-01,4.501047752556506767e-06
6.760374546318673739e-01,4.518202762981478106e-06
6.797316381199357549e-01,4.529441964241209959e-06
6.834258216080041359e-01,4.520521053083859005e-06
6.871200050960725170e-01,4.524591494870074479e-06
6.908141885841408980e-01,4.533778474232122769e-06
6.945083720722092790e-01,4.549022640383712649e-06
6.982025555602776601e-01,4.571296224651354392e-06
7.018967390483460411e-01,4.575818648975096044e-06
7.055909225364143111e-01,4.566816195944439653e-06
7.092851060244826922e-01,4.588742412165660065e-06
7.129792895125510732e-01,4.576399671685445427e-06
7.166734730006194543e-01,4.561874434737686615e-06
7.203676564886878353e-01,4.575038081976688066e-06
7.240618399767562163e-01,4.570185872976253208e-06
7.277560234648245974e-01,4.572365445506517610e-06
7.314502069528929784e-01,4.561666761240868966e-06
7.351443904409613594e-01,4.557969951497016247e-06
7.388385739290297405e-01,4.548558373872047989e-06
7.425327574170980105e-01,4.560000011922747214e-06
7.462269409051663915e-01,4.561462683705765344e-06
7.499211243932347726e-01,4.562124454064094872e-06
7.536153078813031536e-01,4.558522166331388724e-06
7.573094913693715347e-01,4.550688428504646410e-06
7.610036748574399157e-01,4.541825868819903858e-06
7.646978583455082967e-01,4.544783451813961698e-06
7.683920418335766778e-01,4.543439169119161106e-06
7.720862253216450588e-01,4.545982124544494936e-06
7.757804088097134398e-01,4.545049315658762042e-06
7.794745922977817099e-01,4.540252910804991349e-06
7.831687757858500909e-01,4.534925473203219251e-06
7.868629592739184719e-01,4.536383652246002806e-06
7.905571427619868530e-01,4.545677376774944979e-06
7.942513262500552340e-01,4.548211183068776049e-06
7.979455097381236151e-01,4.528265661491584219e-06
8.016396932261919961e-01,4.536440587917871418e-06
8.053338767142603771e-01,4.531120035416522158e-06
8.090280602023287582e-01,4.535261237415627535e-06
8.127222436903970282e-01,4.541696936040080719e-06
8.164164271784654092e-01,4.523365213795920952e-06
8.201106106665337903e-01,4.521090944283754320e-06
8.238047941546021713e-01,4.510229289490741537e-06
8.274989776426705523e-01,4.506236696401987724e-06
8.311931611307389334e-01,4.525943683325460029e-06
8.348873446188073144e-01,4.528015233808098425e-06
8.385815281068756954e-01,4.496822247380432778e-06
8.422757115949440765e-01,4.507554053184434573e-06
8.459698950830124575e-01,4.502482100694370038e-06
8.496640785710807275e-01,4.508415460745953616e-06
8.533582620591491086e-01,4.514682629924470961e-06
8.570524455472174896e-01,4.525221397017350521e-06
8.607466290352858707e-01,4.521917931649410626e-06
8.644408125233542517e-01,4.548655829159774904e-06
8.681349960114226327e-01,4.554961609566062357e-06
8.718291794994910138e-01,4.544529394084369533e-06
8.755233629875593948e-01,4.535101884751912474e-06
8.792175464756277758e-01,4.528752018186477651e-06
8.829117299636961569e-01,4.512868807001210890e-06
8.866059134517644269e-01,4.513042817439169245e-06
8.903000969398328079e-01,4.506332748524596464e-06
8.939942804279011890e-01,4.497685788670785564e-06
8.976884639159695700e-01,4.482634578414529390e-06
9.013826474040379511e-01,4.491053895218815945e-06
9.050768308921063321e-01,4.460743693692947823e-06
9.087710143801747131e-01,4.465805142003656533e-06
9.124651978682430942e-01,4.475736814444417129e-06
9.161593813563114752e-01,4.471379375771479637e-06
9.198535648443798562e-01,4.497142948825627625e-06
9.235477483324481263e-01,4.494818713596890725e-06
9.272419318205165073e-01,4.533613288774987731e-06
9.309361153085848883e-01,4.561134750503381833e-06
9.346302987966532694e-01,4.559747202093061457e-06
9.383244822847216504e-01,4.563396772552956604e-06
9.420186657727900315e-01,4.553721768955489054e-06
9.457128492608584125e-01,4.554678087992506212e-06
9.494070327489267935e-01,4.550716220187587597e-06
9.531012162369951746e-01,4.537978417092485367e-06
9.567953997250635556e-01,4.544276924745700269e-06
9.604895832131318256e-01,4.536991915349397208e-06
9.641837667012002067e-01,4.550059598141146227e-06
9.678779501892685877e-01,4.545011355060863027e-06
9.715721336773369687e-01,4.546858102468582322e-06
9.752663171654053498e-01,4.560845878414404308e-06
9.789605006534737308e-01,4.542183828258232918e-06
9.826546841415421119e-01,4.524806597701399575e-06
9.863488676296104929e-01,4.514974224094946106e-06
9.900430511176788739e-01,4.531911416327460908e-06
9.937372346057472550e-01,4.523479705877047076e-06
9.974314180938155250e-01,4.530907135593999055e-06
1.001125601581883906e+00,4.535768296015729431e-06
1.004819785069952287e+00,4.533706045237912189e-06
1.008513968558020668e+00,4.519322014112746543e-06
1.012208152046089049e+00,4.505276926153923918e-06
1.015902335534157430e+00,4.519389786185960462e-06
1.019596519022225811e+00,4.498486226523459596e-06
1.023290702510294192e+00,4.482588707773728050e-06
