OmegaPlot,Elag
0.000000000000000000e+00,5.005540280207472839e-03
2.770082952363640480e-02,3.865944017507973434e-03
5.540165904727280960e-02,2.251873623757709268e-03
8.310248857090921093e-02,1.433446630172159142e-03
1.108033180945456192e-01,1.016948163544602497e-03
1.385041476181820275e-01,7.515603871611542313e-04
1.662049771418184219e-01,5.915225463918430448e-04
1.939058066654548163e-01,4.722586264035575818e-04
2.216066361890912384e-01,3.864159535244217803e-04
2.493074657127276605e-01,3.174933709045201142e-04
2.770082952363640549e-01,2.649897959071833469e-04
3.047091247600004493e-01,2.231760576126454003e-04
3.324099542836368437e-01,1.895748776975741230e-04
3.601107838072732381e-01,1.600982141383237021e-04
3.878116133309096325e-01,1.342543814631880694e-04
4.155124428545460824e-01,1.181217471013638496e-04
4.432132723781824768e-01,1.006356318294097566e-04
4.709141019018188712e-01,8.562005099582032915e-05
4.986149314254553211e-01,7.424969209593613041e-05
5.263157609490917155e-01,6.539941564607508224e-05
5.540165904727281099e-01,5.714922045278370455e-05
5.817174199963645043e-01,4.937249258193624629e-05
6.094182495200008987e-01,4.384220454967664677e-05
6.371190790436372930e-01,3.777581791482003678e-05
6.648199085672736874e-01,3.253650115786923364e-05
6.925207380909100818e-01,2.874466786377494901e-05
7.202215676145464762e-01,2.543164512735932034e-05
7.479223971381829816e-01,2.244813359551178520e-05
7.756232266618192650e-01,2.010356247304606570e-05
8.033240561854557704e-01,1.773013614558715563e-05
8.310248857090921648e-01,1.587347715628415867e-05
8.587257152327286702e-01,1.406979974690539869e-05
8.864265447563649536e-01,1.261299471236279233e-05
9.141273742800012370e-01,1.153771270956257549e-05
9.418282038036377424e-01,1.032857257276779187e-05
9.695290333272741368e-01,9.298146422274307398e-06
9.972298628509106422e-01,8.408578906619130878e-06
1.024930692374546926e+00,7.616499135458270852e-06
1.052631521898183431e+00,6.928532168033925827e-06
1.080332351421819714e+00,6.230482681284816589e-06
1.108033180945456220e+00,5.617909070402227259e-06
1.135734010469092503e+00,5.144299974723645802e-06
1.163434839992729009e+00,4.661766339751476581e-06
1.191135669516365514e+00,4.286788129741540720e-06
1.218836499040001797e+00,3.916228440671452038e-06
1.246537328563638303e+00,3.623269298298700994e-06
1.274238158087274586e+00,3.325964798309237752e-06
1.301938987610910869e+00,3.000321904664218396e-06
1.329639817134547375e+00,2.810589033883290784e-06
1.357340646658183658e+00,2.616248879038308337e-06
1.385041476181820164e+00,2.431236604807019025e-06
1.412742305705456669e+00,2.258331262376596935e-06
1.440443135229092952e+00,2.063513453551535986e-06
1.468143964752729680e+00,1.930337854348711880e-06
1.495844794276365963e+00,1.817930264623339677e-06
1.523545623800002247e+00,1.682629413973768414e-06
1.551246453323638530e+00,1.584798018827839247e-06
1.578947282847274813e+00,1.484635526405170013e-06
1.606648112370911541e+00,1.382802417489996173e-06
1.634348941894547824e+00,1.320590219165912892e-06
1.662049771418184330e+00,1.255225931853842041e-06
1.689750600941820613e+00,1.180332911979562905e-06
1.717451430465457340e+00,1.111697736697209258e-06
1.745152259989093624e+00,1.054988627646212442e-06
1.772853089512729907e+00,1.002841961601469856e-06
1.800553919036366191e+00,9.454129774047557983e-07
1.828254748560002474e+00,9.050467348508595566e-07
1.855955578083639201e+00,8.604982497444181452e-07
1.883656407607275485e+00,8.223480550172005795e-07
1.911357237130911990e+00,7.755381148325391639e-07
1.939058066654548274e+00,7.463668353236909270e-07
1.966758896178184557e+00,7.103063192854858377e-07
1.994459725701821284e+00,6.794711136346452025e-07
2.022160555225457568e+00,6.480644514884774357e-07
2.049861384749093851e+00,6.224872556158494981e-07
2.077562214272730134e+00,6.037774449286629582e-07
2.105263043796366862e+00,5.810224070186636236e-07
2.132963873320003145e+00,5.565437148081846864e-07
2.160664702843639429e+00,5.415894134220033114e-07
2.188365532367275712e+00,5.181706286441913622e-07
2.216066361890912439e+00,5.032916721680722801e-07
2.243767191414548723e+00,4.882820844774592025e-07
2.271468020938185006e+00,4.673818668023733332e-07
2.299168850461821734e+00,4.599027112259195385e-07
2.326869679985458017e+00,4.394253981138831499e-07
2.354570509509094745e+00,4.271877293316262861e-07
2.382271339032731028e+00,4.144282259166521792e-07
2.409972168556367311e+00,4.031453058298951636e-07
2.437672998080003595e+00,3.942477040051118000e-07
2.465373827603639878e+00,3.795696449341946318e-07
2.493074657127276605e+00,3.699928716109597083e-07
2.520775486650912889e+00,3.616176053741358018e-07
2.548476316174549172e+00,3.531627409052077595e-07
2.576177145698185456e+00,3.446109504045009200e-07
2.603877975221821739e+00,3.338439597347723802e-07
2.631578804745458466e+00,3.277223409888668579e-07
2.659279634269094750e+00,3.183608573445379422e-07
2.686980463792731033e+00,3.122954481149706031e-07
2.714681293316367316e+00,3.044256391743658513e-07
2.742382122840004044e+00,2.981340115644047094e-07
2.770082952363640327e+00,2.928079147743968970e-07
2.797783781887277055e+00,2.840059788532934026e-07
2.825484611410913338e+00,2.793303664793555372e-07
2.853185440934549622e+00,2.743363233603778000e-07
2.880886270458185905e+00,2.693578349356264019e-07
2.908587099981822632e+00,2.623491573013368705e-07
2.936287929505459360e+00,2.607262496447091005e-07
2.963988759029095199e+00,2.566560954106262130e-07
2.991689588552731927e+00,2.507533813116089964e-07
3.019390418076367766e+00,2.484247022881211757e-07
3.047091247600004493e+00,2.412598942553188818e-07
3.074792077123641221e+00,2.398703922640767976e-07
3.102492906647277060e+00,2.341339631969811867e-07
3.130193736170913787e+00,2.334239640161275749e-07
3.157894565694549627e+00,2.272582401352722267e-07
3.185595395218186354e+00,2.231941793790254799e-07
3.213296224741823082e+00,2.181649030245740278e-07
3.240997054265459365e+00,2.170179393604919104e-07
3.268697883789095648e+00,2.138520874718162769e-07
3.296398713312731932e+00,2.120570996666172251e-07
3.324099542836368659e+00,2.096471165054936144e-07
3.351800372360004943e+00,2.050900102318219082e-07
3.379501201883641226e+00,2.059460173267039351e-07
3.407202031407277953e+00,2.006111959183376248e-07
3.434902860930914681e+00,1.956723911349737165e-07
3.462603690454550520e+00,1.950273000800435742e-07
3.490304519978187248e+00,1.952898674722525170e-07
3.518005349501823087e+00,1.917916777830196440e-07
3.545706179025459814e+00,1.874270423403103310e-07
3.573407008549096542e+00,1.864147340976807724e-07
3.601107838072732381e+00,1.860159468834031181e-07
3.628808667596369109e+00,1.821753417969465867e-07
3.656509497120004948e+00,1.812895350334751769e-07
3.684210326643641675e+00,1.801903145364229231e-07
3.711911156167278403e+00,1.799281515406250917e-07
3.739611985690914686e+00,1.760245792138076837e-07
3.767312815214550970e+00,1.745530009952878416e-07
3.795013644738187253e+00,1.724686104120427726e-07
3.822714474261823980e+00,1.723853130107982029e-07
3.850415303785460264e+00,1.706820680335031453e-07
3.878116133309096547e+00,1.696733653583761863e-07
3.905816962832733275e+00,1.666153586507130919e-07
3.933517792356369114e+00,1.658848796697097403e-07
3.961218621880005841e+00,1.645727181448729255e-07
3.988919451403642569e+00,1.631600927890503684e-07
4.016620280927278408e+00,1.622363079654645906e-07
4.044321110450915135e+00,1.612769800994026275e-07
4.072021939974551863e+00,1.595473128704457976e-07
4.099722769498187702e+00,1.589121157761351058e-07
4.127423599021824430e+00,1.593205149426113360e-07
4.155124428545460269e+00,1.574612574635889560e-07
4.182825258069096996e+00,1.573540423449862897e-07
4.210526087592733724e+00,1.548220081736196627e-07
4.238226917116369563e+00,1.526930413721227158e-07
4.265927746640006291e+00,1.536307736025674909e-07
4.293628576163642130e+00,1.519822688605627204e-07
4.321329405687278857e+00,1.510364355809247021e-07
4.349030235210915585e+00,1.509068465156135055e-07
4.376731064734551424e+00,1.499017177115619854e-07
4.404431894258188152e+00,1.492376499066765869e-07
4.432132723781824879e+00,1.482084465853161540e-07
4.459833553305460718e+00,1.459642240122036946e-07
4.487534382829097446e+00,1.481113269055052594e-07
4.515235212352734173e+00,1.474457751782515325e-07
4.542936041876370012e+00,1.468812818529457571e-07
4.570636871400006740e+00,1.457248974496323389e-07
4.598337700923643467e+00,1.463867125499137079e-07
4.626038530447279307e+00,1.457539698481394265e-07
4.653739359970916034e+00,1.439551875390079446e-07
4.681440189494552762e+00,1.445983484856035393e-07
4.709141019018189489e+00,1.435329888773054300e-07
4.736841848541825328e+00,1.442570259503758147e-07
4.764542678065462056e+00,1.430147565789171636e-07
4.792243507589097895e+00,1.424595892305276510e-07
4.819944337112734623e+00,1.423352961059607764e-07
4.847645166636371350e+00,1.421332306009537098e-07
4.875345996160007189e+00,1.415368851386325178e-07
4.903046825683643917e+00,1.426827868286372966e-07
4.930747655207279756e+00,1.405518871584114539e-07
4.958448484730916483e+00,1.416237097589598921e-07
4.986149314254553211e+00,1.416667482488698535e-07
