NormT,saffman
0.000000000000000000e+00,5.571671135011763316e-03
3.694195581507186098e-03,5.534313445129699499e-03
7.388391163014372195e-03,5.499048881779704245e-03
1.108258711098940134e-02,5.463921295961261630e-03
1.477678232602874439e-02,5.425333899389318294e-03
1.847097754106808570e-02,5.388112288538158233e-03
2.216517275610743049e-02,5.353731257259014033e-03
2.585936943701814400e-02,5.312111374599675501e-03
2.955356465205748878e-02,5.272197199187333462e-03
3.324775986709683356e-02,5.235224327651412206e-03
3.694195508213617141e-02,5.196920426060777642e-03
4.063615029717551619e-02,5.168707764520700035e-03
4.433034551221486097e-02,5.140064585375344296e-03
4.802454072725420575e-02,5.102125972359228614e-03
5.171873887403628800e-02,5.067981410492705847e-03
5.541293408907563278e-02,5.031730426265240003e-03
5.910712930411497756e-02,4.994331235568455658e-03
6.280132451915432235e-02,4.960977736243255692e-03
6.649551973419366713e-02,4.924564011128590435e-03
7.018971494923299803e-02,4.888115861661031757e-03
7.388391016427234281e-02,4.850505420029544747e-03
7.757810537931168759e-02,4.823610924871054619e-03
8.127230059435103238e-02,4.785678936786707909e-03
8.496649580939037716e-02,4.757651310353486727e-03
8.866069102442972194e-02,4.724927566157435463e-03
9.235488623946906672e-02,4.695583696123166624e-03
9.604908145450841150e-02,4.670589367849592964e-03
9.974328253303323122e-02,4.635707762148160750e-03
1.034374777480725760e-01,4.608237644507590797e-03
1.071316729631119208e-01,4.584472924608055944e-03
1.108258681781512656e-01,4.551691196865177876e-03
1.145200633931906103e-01,4.521712027341424911e-03
1.182142586082299551e-01,4.495465434654481382e-03
1.219084538232692999e-01,4.477695385531689325e-03
1.256026490383086447e-01,4.450003109026655010e-03
1.292968442533479756e-01,4.414778525075879756e-03
1.329910394683873343e-01,4.375439177878533148e-03
1.366852346834266652e-01,4.337353235509908839e-03
1.403794298984659961e-01,4.300686051073805520e-03
1.440736251135053547e-01,4.262958386307492790e-03
1.477678203285446856e-01,4.229835459138996286e-03
1.514620155435840443e-01,4.200063899439187599e-03
1.551562107586233752e-01,4.178940333701324297e-03
1.588504059736627338e-01,4.139121265243106938e-03
1.625446011887020648e-01,4.114379363402611428e-03
1.662387964037414234e-01,4.088364227100011253e-03
1.699329916187807543e-01,4.067667499020087042e-03
1.736271868338200852e-01,4.049370077784299887e-03
1.773213820488594439e-01,4.038668784146498200e-03
1.810155772638987748e-01,4.018351052862335904e-03
1.847097724789381334e-01,3.990777623731943738e-03
1.884039676939774643e-01,3.959693089251909055e-03
1.920981629090168230e-01,3.940961891549361017e-03
1.957923581240561539e-01,3.919755292188832618e-03
1.994865650660664624e-01,3.891170559648836173e-03
2.031807720080767987e-01,3.868242771263767730e-03
2.068749789500871072e-01,3.850330463890054306e-03
2.105691858920974158e-01,3.826524152501866588e-03
2.142633928341077243e-01,3.800320619203650854e-03
2.179575997761180606e-01,3.788215151474164967e-03
2.216518067181283691e-01,3.756747395557783961e-03
2.253460136601386776e-01,3.737704292981081349e-03
2.290402206021490139e-01,3.722609898199709909e-03
2.327344275441593224e-01,3.698639899108688636e-03
2.364286344861696310e-01,3.683541786784226557e-03
2.401228414281799395e-01,3.666341734080364248e-03
2.438170483701902758e-01,3.658289993078403263e-03
2.475112553122005843e-01,3.637675635622636492e-03
2.512054622542109206e-01,3.624011848449901381e-03
2.548996691962212013e-01,3.601714076479974914e-03
2.585938761382315376e-01,3.579182763079516005e-03
2.622880830802418184e-01,3.563400370829411870e-03
2.659822900222521547e-01,3.556368991877936845e-03
2.696764969642624910e-01,3.533853995455518791e-03
2.733707039062727717e-01,3.529316011401270776e-03
2.770649108482831080e-01,3.522821477099489455e-03
2.807591177902934443e-01,3.523932614114379160e-03
2.844533247323037251e-01,3.527171297335402779e-03
2.881475316743140613e-01,3.507725049221953502e-03
2.918417386163243976e-01,3.503095870395432718e-03
2.955359455583346784e-01,3.505415842783784607e-03
2.992301525003450147e-01,3.500980172968263734e-03
3.029243594423553509e-01,3.486038366866868812e-03
3.066185663843656317e-01,3.469453746944579919e-03
3.103127733263759680e-01,3.449940827988206074e-03
3.140069802683862488e-01,3.446875009044717518e-03
3.177011872103965850e-01,3.430368203464050341e-03
3.213953941524069213e-01,3.424012170363842106e-03
3.250896010944172021e-01,3.413030311135333700e-03
3.287838080364275384e-01,3.405470114956732353e-03
3.324780149784378747e-01,3.407271572161945771e-03
3.361722219204481554e-01,3.406480246047906366e-03
3.398664288624584917e-01,3.406312201237821427e-03
3.435606358044688280e-01,3.401132457454867242e-03
3.472548427464791088e-01,3.400840271464029667e-03
3.509490496884894450e-01,3.395059114421323295e-03
3.546432566304997258e-01,3.383255489055082398e-03
3.583374635725100621e-01,3.386354371721230026e-03
3.620316705145203984e-01,3.367766685549005920e-03
3.657258774565306791e-01,3.358998088033042853e-03
3.694200843985410154e-01,3.347218388330584597e-03
3.731142913405513517e-01,3.351408662689428237e-03
3.768084982825616325e-01,3.352313855316279602e-03
3.805027052245719688e-01,3.348151786617013879e-03
3.841969121665823050e-01,3.335635239849596336e-03
3.878911191085925858e-01,3.332452916867338633e-03
3.915853260506029221e-01,3.324237542888467973e-03
3.952795095386713031e-01,3.320676798140484529e-03
