NormT,undisturbed
0.000000000000000000e+00,2.218283735544780992e-04
3.694195581507186098e-03,2.218162243202281966e-04
7.388391163014372195e-03,2.217782290841463499e-04
1.108258711098940134e-02,2.217872633284177016e-04
1.477678232602874439e-02,2.218080435691636185e-04
1.847097754106808570e-02,2.218722833861773371e-04
2.216517275610743049e-02,2.218220874838758478e-04
2.585936943701814400e-02,2.218489596179181627e-04
2.955356465205748878e-02,2.217923096915743668e-04
3.324775986709683356e-02,2.218325056260023978e-04
3.694195508213617141e-02,2.218330115302204924e-04
4.063615029717551619e-02,2.218292209013585049e-04
4.433034551221486097e-02,2.217832087571657159e-04
4.802454072725420575e-02,2.218262926639051819e-04
5.171873887403628800e-02,2.217655822044770542e-04
5.541293408907563278e-02,2.217559467964226962e-04
5.910712930411497756e-02,2.218122110334313406e-04
6.280132451915432235e-02,2.218268012014061911e-04
6.649551973419366713e-02,2.218433430709396820e-04
7.018971494923299803e-02,2.218845274110092802e-04
7.388391016427234281e-02,2.218944310883185389e-04
7.757810537931168759e-02,2.218669431627038409e-04
8.127230059435103238e-02,2.218237026775574507e-04
8.496649580939037716e-02,2.218818631701759050e-04
8.866069102442972194e-02,2.218727553975921541e-04
9.235488623946906672e-02,2.219390049655033950e-04
9.604908145450841150e-02,2.219779663545096160e-04
9.974328253303323122e-02,2.219770893888902980e-04
1.034374777480725760e-01,2.218654766383119535e-04
1.071316729631119208e-01,2.219883145765070447e-04
1.108258681781512656e-01,2.221592143981213931e-04
1.145200633931906103e-01,2.219867417261513090e-04
1.182142586082299551e-01,2.219989866201612727e-04
1.219084538232692999e-01,2.220703298010027983e-04
1.256026490383086447e-01,2.220886150146227577e-04
1.292968442533479756e-01,2.221657734174028738e-04
1.329910394683873343e-01,2.220130592756908725e-04
1.366852346834266652e-01,2.219950408685749949e-04
1.403794298984659961e-01,2.219072147466808614e-04
1.440736251135053547e-01,2.219468199027294151e-04
1.477678203285446856e-01,2.219213420448041608e-04
1.514620155435840443e-01,2.218378974749144372e-04
1.551562107586233752e-01,2.219179227583542341e-04
1.588504059736627338e-01,2.219159901911709116e-04
1.625446011887020648e-01,2.218284388866755420e-04
1.662387964037414234e-01,2.217817277402471835e-04
1.699329916187807543e-01,2.219208137236088833e-04
1.736271868338200852e-01,2.218828511913019733e-04
1.773213820488594439e-01,2.219243896348810255e-04
1.810155772638987748e-01,2.218449735356877329e-04
1.847097724789381334e-01,2.218740021968870107e-04
1.884039676939774643e-01,2.217745351095007041e-04
1.920981629090168230e-01,2.218030445925690212e-04
1.957923581240561539e-01,2.217451038820454883e-04
1.994865650660664624e-01,2.217399313370519256e-04
2.031807720080767987e-01,2.215923360530783518e-04
2.068749789500871072e-01,2.213212294409376481e-04
2.105691858920974158e-01,2.211818109082540741e-04
2.142633928341077243e-01,2.211539746886940962e-04
2.179575997761180606e-01,2.212854236131440403e-04
2.216518067181283691e-01,2.212477809458935284e-04
2.253460136601386776e-01,2.210917164910819336e-04
2.290402206021490139e-01,2.211568180308729609e-04
2.327344275441593224e-01,2.210765657840999725e-04
2.364286344861696310e-01,2.211203171261922197e-04
2.401228414281799395e-01,2.211282571745162081e-04
2.438170483701902758e-01,2.210849398379983598e-04
2.475112553122005843e-01,2.210777215090550818e-04
2.512054622542109206e-01,2.211213938829701981e-04
2.548996691962212013e-01,2.213157908514451001e-04
2.585938761382315376e-01,2.214064387932457171e-04
2.622880830802418184e-01,2.214145904465686637e-04
2.659822900222521547e-01,2.215214104818140893e-04
2.696764969642624910e-01,2.214024429581726836e-04
2.733707039062727717e-01,2.212061669319997134e-04
2.770649108482831080e-01,2.211163124693906823e-04
2.807591177902934443e-01,2.211361395014767816e-04
2.844533247323037251e-01,2.209300450740817696e-04
2.881475316743140613e-01,2.207329538327874256e-04
2.918417386163243976e-01,2.206301440473175108e-04
2.955359455583346784e-01,2.206003551461281588e-04
2.992301525003450147e-01,2.205517159103552048e-04
3.029243594423553509e-01,2.204295465279101538e-04
3.066185663843656317e-01,2.203622505371801831e-04
3.103127733263759680e-01,2.201661369100569329e-04
3.140069802683862488e-01,2.202400129210905946e-04
3.177011872103965850e-01,2.201734848276422471e-04
3.213953941524069213e-01,2.201085100340824602e-04
3.250896010944172021e-01,2.200958853202243974e-04
3.287838080364275384e-01,2.199991135688378926e-04
3.324780149784378747e-01,2.200743569307028833e-04
3.361722219204481554e-01,2.200365436884419020e-04
3.398664288624584917e-01,2.200984452030882140e-04
3.435606358044688280e-01,2.201144802547582303e-04
3.472548427464791088e-01,2.199960461116150408e-04
3.509490496884894450e-01,2.200949927419069605e-04
3.546432566304997258e-01,2.199868448246982940e-04
3.583374635725100621e-01,2.201994174476992348e-04
3.620316705145203984e-01,2.200970606051143416e-04
3.657258774565306791e-01,2.199354144796834452e-04
3.694200843985410154e-01,2.198530593217825908e-04
3.731142913405513517e-01,2.199973020687315880e-04
3.768084982825616325e-01,2.201155399557738074e-04
3.805027052245719688e-01,2.199154902692628205e-04
3.841969121665823050e-01,2.197009564029222997e-04
3.878911191085925858e-01,2.197079616297748352e-04
3.915853260506029221e-01,2.196935646401262118e-04
3.952795095386713031e-01,2.196527928233554458e-04
3.989736930267396287e-01,2.196714182111822965e-04
4.026678765148080097e-01,2.197707271444910410e-04
4.063620600028763907e-01,2.196103276685119183e-04
4.100562434909447718e-01,2.196370769144175006e-04
4.137504269790131528e-01,2.196061416422831459e-04
4.174446104670814783e-01,2.196639563334162534e-04
4.211387939551498594e-01,2.195191104931223252e-04
4.248329774432182404e-01,2.194166098479214311e-04
4.285271609312866214e-01,2.195267874043559629e-04
4.322213444193550025e-01,2.195319408235495151e-04
4.359155279074233280e-01,2.197240735019196376e-04
4.396097113954917091e-01,2.198362092062360756e-04
4.433038948835600901e-01,2.197208194645027825e-04
4.469980783716284711e-01,2.197276154145167294e-04
4.506922618596968522e-01,2.197465103012643996e-04
4.543864453477651777e-01,2.199799399606208153e-04
4.580806288358335587e-01,2.201276441687546079e-04
4.617748123239019398e-01,2.203077859865262876e-04
4.654689958119703208e-01,2.203559639562277604e-04
4.691631793000387018e-01,2.203798448295143551e-04
4.728573627881070274e-01,2.206455779313659844e-04
4.765515462761754084e-01,2.207609827169874504e-04
4.802457297642437895e-01,2.208627962950051140e-04
4.839399132523121705e-01,2.206320602447667061e-04
4.876340967403805515e-01,2.205172421950237101e-04
4.913282802284488771e-01,2.204982079766990022e-04
4.950224637165172581e-01,2.203045806448711839e-04
4.987166472045856391e-01,2.204150243279285974e-04
5.024108306926540202e-01,2.204859880601907677e-04
5.061050141807224012e-01,2.204218786456206395e-04
5.097991976687907822e-01,2.203310982508142381e-04
5.134933811568591633e-01,2.202333468457495400e-04
5.171875646449275443e-01,2.202185090121080416e-04
5.208817481329958143e-01,2.200387140815096988e-04
5.245759316210641954e-01,2.199193241969108869e-04
5.282701151091325764e-01,2.196482322684311273e-04
5.319642985972009575e-01,2.197319764975313549e-04
5.356584820852693385e-01,2.196303155892737719e-04
5.393526655733377195e-01,2.194055108366542179e-04
5.430468490614061006e-01,2.191693926527052329e-04
5.467410325494744816e-01,2.191779933777905946e-04
5.504352160375428626e-01,2.193758179718787403e-04
5.541293995256112437e-01,2.192467186923138941e-04
5.578235830136795137e-01,2.193639504404557830e-04
5.615177665017478947e-01,2.193900782606535442e-04
5.652119499898162758e-01,2.194166580768156167e-04
5.689061334778846568e-01,2.193160329364749438e-04
5.726003169659530379e-01,2.192359196235867244e-04
5.762945004540214189e-01,2.195119378185250193e-04
5.799886839420897999e-01,2.196164055537548371e-04
5.836828674301581810e-01,2.197129040392238250e-04
5.873770509182265620e-01,2.200796878908144920e-04
5.910712344062949430e-01,2.202275958025039085e-04
5.947654178943632131e-01,2.201829811641435304e-04
5.984596013824315941e-01,2.205289430284801747e-04
6.021537848704999751e-01,2.205506324771260322e-04
6.058479683585683562e-01,2.205802930835364497e-04
6.095421518466367372e-01,2.206223396318699804e-04
6.132363353347051182e-01,2.207302675110144074e-04
6.169305188227734993e-01,2.207073860974323183e-04
6.206247023108418803e-01,2.206151703589440344e-04
6.243188857989102614e-01,2.204551832843054465e-04
6.280130692869786424e-01,2.205149098757185208e-04
6.317072527750469124e-01,2.204097470436666153e-04
6.354014362631152935e-01,2.202910365999197727e-04
6.390956197511836745e-01,2.202586258498166912e-04
6.427898032392520555e-01,2.201681261973660304e-04
6.464839867273204366e-01,2.200000269264647279e-04
6.501781702153888176e-01,2.199253975814709661e-04
6.538723537034571986e-01,2.197081224857315635e-04
6.575665371915255797e-01,2.198904495383361725e-04
6.612607206795939607e-01,2.199045020320455879e-04
6.649549041676623418e-01,2.198405318304231073e-04
6.686490876557306118e-01,2.198648756757263828e-04
6.723432711437989928e-01,2.198918938584732406e-04
6.760374546318673739e-01,2.200771517475617824e-04
6.797316381199357549e-01,2.203154255664823704e-04
6.834258216080041359e-01,2.202902004266931661e-04
6.871200050960725170e-01,2.203941146828376936e-04
6.908141885841408980e-01,2.203581084339036815e-04
6.945083720722092790e-01,2.202257217905239154e-04
6.982025555602776601e-01,2.201090720110651774e-04
7.018967390483460411e-01,2.199371328836221206e-04
7.055909225364143111e-01,2.199356739855381300e-04
7.092851060244826922e-01,2.197632694351990491e-04
7.129792895125510732e-01,2.198454734371615787e-04
7.166734730006194543e-01,2.197813184714788454e-04
7.203676564886878353e-01,2.197071262546099321e-04
7.240618399767562163e-01,2.198678724310607177e-04
7.277560234648245974e-01,2.198976088321306650e-04
7.314502069528929784e-01,2.197689009121627836e-04
7.351443904409613594e-01,2.195225168469151637e-04
7.388385739290297405e-01,2.196170800344111949e-04
7.425327574170980105e-01,2.196137796519673484e-04
7.462269409051663915e-01,2.199531895448135195e-04
7.499211243932347726e-01,2.196660226940994553e-04
7.536153078813031536e-01,2.196713418054013431e-04
7.573094913693715347e-01,2.197534722670725030e-04
7.610036748574399157e-01,2.197651060009688743e-04
7.646978583455082967e-01,2.197530868801617781e-04
7.683920418335766778e-01,2.197845435399886746e-04
7.720862253216450588e-01,2.198420334356095194e-04
7.757804088097134398e-01,2.198235441693780553e-04
7.794745922977817099e-01,2.200174841154375210e-04
7.831687757858500909e-01,2.199662320875208743e-04
7.868629592739184719e-01,2.200267016032524754e-04
7.905571427619868530e-01,2.199568111307364366e-04
7.942513262500552340e-01,2.200130736134390977e-04
7.979455097381236151e-01,2.198417064211953282e-04
8.016396932261919961e-01,2.198295848926798608e-04
8.053338767142603771e-01,2.199487923293326258e-04
8.090280602023287582e-01,2.197995626809500793e-04
8.127222436903970282e-01,2.197706486869072410e-04
8.164164271784654092e-01,2.197770746723743426e-04
8.201106106665337903e-01,2.195838080243528868e-04
8.238047941546021713e-01,2.197780773122143380e-04
8.274989776426705523e-01,2.197260684225176822e-04
8.311931611307389334e-01,2.198184687044614071e-04
8.348873446188073144e-01,2.198619856700236973e-04
8.385815281068756954e-01,2.199319920045718357e-04
8.422757115949440765e-01,2.201538800642682911e-04
8.459698950830124575e-01,2.205753341689961394e-04
8.496640785710807275e-01,2.207307406469011593e-04
8.533582620591491086e-01,2.209447280110864100e-04
8.570524455472174896e-01,2.210146321900309920e-04
8.607466290352858707e-01,2.210812196859556855e-04
8.644408125233542517e-01,2.212015472360075923e-04
8.681349960114226327e-01,2.214295818471323886e-04
8.718291794994910138e-01,2.212486553794954988e-04
8.755233629875593948e-01,2.216243913307360902e-04
8.792175464756277758e-01,2.217904868159629506e-04
8.829117299636961569e-01,2.219542800057266768e-04
8.866059134517644269e-01,2.219742393975065108e-04
8.903000969398328079e-01,2.218878424988707557e-04
8.939942804279011890e-01,2.219550516879514705e-04
8.976884639159695700e-01,2.220253470005774854e-04
9.013826474040379511e-01,2.219207211131752927e-04
9.050768308921063321e-01,2.220020723436023880e-04
9.087710143801747131e-01,2.220707356444195056e-04
9.124651978682430942e-01,2.218138828572862589e-04
9.161593813563114752e-01,2.216532415219906534e-04
9.198535648443798562e-01,2.213458445545358057e-04
9.235477483324481263e-01,2.213835493166820846e-04
9.272419318205165073e-01,2.212311898667316677e-04
9.309361153085848883e-01,2.210362392167961954e-04
9.346302987966532694e-01,2.210888103815595001e-04
9.383244822847216504e-01,2.209897931219621163e-04
9.420186657727900315e-01,2.207444349924642894e-04
9.457128492608584125e-01,2.206703063763299183e-04
9.494070327489267935e-01,2.206876919858461567e-04
9.531012162369951746e-01,2.208043444461940154e-04
9.567953997250635556e-01,2.209276853330356498e-04
9.604895832131318256e-01,2.207956064196774700e-04
9.641837667012002067e-01,2.206432879917329679e-04
9.678779501892685877e-01,2.208354657596355128e-04
