St,Ekk
1.000000000000000056e-01,1.019041610877566395e+00
1.668100537200058742e-01,1.033651079751594093e+00
2.782559402207124277e-01,1.019503862989995735e+00
4.641588833612778631e-01,9.920560706892468383e-01
7.742636826811269968e-01,9.458135389659739767e-01
1.291549665014884107e+00,8.717508700856934079e-01
2.154434690031883370e+00,7.843212997269817244e-01
3.593813663804625858e+00,7.120184726419703791e-01
5.994842503189408589e+00,7.051350752013850753e-01
1.000000000000000000e+01,8.350658649315980675e-01
