St,dVSet
1.000000000000000056e-01,3.667866588444876896e-01
1.668100537200058742e-01,1.950547187484930056e-01
2.782559402207124277e-01,1.361800189000823280e-01
4.641588833612778631e-01,1.841734619249886240e-01
7.742636826811269968e-01,2.632877380604135564e-01
1.291549665014884107e+00,1.565510992483103436e-01
2.154434690031883370e+00,5.905632736753299583e-02
3.593813663804625858e+00,1.041570696121789374e-01
5.994842503189408589e+00,1.660857480677732090e-01
1.000000000000000000e+01,8.537069237377778452e-02
