St,A2Var
1.000000000000000056e-01,1.228204668153726971e+02
1.668100537200058742e-01,7.829557644431567098e+01
2.782559402207124277e-01,5.614519137193754972e+01
4.641588833612778631e-01,3.922880829019295135e+01
7.742636826811269968e-01,2.814042438476039720e+01
1.291549665014884107e+00,1.964106122157925327e+01
2.154434690031883370e+00,1.319292867780374401e+01
3.593813663804625858e+00,8.947516347455605867e+00
5.994842503189408589e+00,6.138018703832773149e+00
1.000000000000000000e+01,3.793394736656424460e+00
